PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Activity_Score,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.00132 uM,Activity at 0.00295 uM,Activity at 0.00635 uM,Activity at 0.015 uM,Activity at 0.029 uM,Activity at 0.033 uM,Activity at 0.074 uM,Activity at 0.159 uM,Activity at 0.369 uM,Activity at 0.794 uM,Activity at 1.840 uM,Activity at 3.690 uM,Activity at 4.120 uM,Activity at 9.220 uM,Activity at 19.84 uM,Activity at 46.10 uM,Activity at 92.20 uM,Compound QC
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,STRING,INTEGER,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING
RESULT_DESCR,,,,,,,,"Indicates type of activity observed: inhibitor, activator, fluorescent, cytotoxic, inactive, or inconclusive.","Concentration at which compound exhibits half-maximal efficacy, AC50. Extrapolated AC50s also include the highest efficacy observed and the concentration of compound at which it was observed.","Maximal efficacy of compound, reported as a percentage of control. These values are estimated based on fits of the Hill equation to the dose-response curves.",Annotation/notes on a particular compound's data or its analysis.,Activity score.,"A description of dose-response curve quality. A complete curve has two observed asymptotes; a partial curve may not have attained its second asymptote at the highest concentration tested. High efficacy curves exhibit efficacy greater than 80% of control. Partial efficacies are statistically significant, but below 80% of control.",The logarithm of the AC50 from a fit of the data to the Hill equation (calculated based on Molar Units).,The Hill slope from a fit of the data to the Hill equation.,R^2 fit value of the curve. Closer to 1.0 equates to better Hill equation fit.,The asymptotic efficacy from a fit of the data to the Hill equation.,Efficacy at zero concentration of compound from a fit of the data to the Hill equation.,Numerical encoding of curve description for the fitted Hill equation.,"Which dose-response titration points were excluded from analysis based on outlier analysis. Each number represents whether a titration point was (1) or was not (0) excluded, for the titration series going from smallest to highest compound concentrations.",Maximum activity observed for compound (usually at highest concentration tested).,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,"NCGC designation for data stage: 'qHTS', 'qHTS Verification', 'Secondary Profiling'"
RESULT_UNIT,,,,,,,,,MICROMOLAR,PERCENT,,NONE,,NONE,NONE,NONE,PERCENT,PERCENT,NONE,,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,,,,,,,,0.00132,0.00295,0.00635147,0.0147,0.0295,0.033,0.0737,0.158768,0.369,0.793915,1.84,3.69,4.12,9.22,19.8389,46.1,92.2,
1,103050791,49778520,CC(C1=CC=C(C=C1)OC)(C2=NC(=CS2)C3=CC(=C(C=C3)OC)OC)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS003122429-01/135605835,,Inactive,,,,0,,,2.6384,0.9854,13.5,-1.856,4,0 0 0 0 0 0 0,12.3606,,-2.7966,,-2.0476,,,-1.4811,,-1.5873,,-0.675,,,0.2071,,12.3606,,QC'd by Evotec San Francisco
2,103050851,49778563,C1=CC=C(C=C1)C2=CN3C(=CN=C3C(=C2)NC=O)C4=CC(=C(C=C4)F)Cl,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS003124225-01/135604615,,Inactive,,,,0,,-4.6862,2.3531,0.995,32.5,-1.718,4,0 0 0 0 0 0 0,28.0026,,-2.6817,,-1.9912,,,-1.4675,,-1.1846,,-0.0914,,,2.6205,,28.0026,,QC'd by Evotec San Francisco
3,103060018,49786331,CC(=O)NC(C1=CC(=CC=C1)OC)C2=NC(=CS2)C3=CC=CC(=C3)C#N,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS003122374-01/135606079,,Inactive,,,,0,,,0.7,0.906,4,-2.4207,4,0 0 0 0 0 0 0,2.4856,,-3.2672,,-2.2112,,,-1.6313,,-1.8946,,-0.9781,,,-0.4547,,2.4856,,QC'd by Evotec San Francisco
4,103060229,49786474,COC1=C(C=C(C=C1)C2=CN=C3N2C=C(C=C3NC=O)C4=CC=CC=C4OC)OC,Active,43,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS003124126-01/135604070,,Activator,8.1995,112.446,,43,Partial curve; high efficacy,-5.0862,1,0.9977,109.804,-2.6417,2.1,0 0 0 0 0 0 0,92.8971,,-1.9038,,-2.9631,,,0.5492,,-0.7769,,20.0378,,,56.4766,,92.8971,,QC'd by Evotec San Francisco
5,103060697,24686923,CCN(CC(=O)NC1=CC=C(C=C1)NC(=O)C)C(=O)C2CC2,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS001097747-01/135605320,,Inactive,,,,0,,,,,,,4,,-0.0804,,-1.1458,,-2.3789,,,0.6866,,-0.9584,,-0.6815,,,-1.0627,,-0.0804,,QC'd by UrkORgSynthesis Ltd
