smiles,mwt,logp_rdkit,qed,sascore,hba(NO),hbd(NHOH),plogp,cycle_score,heavy_atom_count
CC(C)(C)C1=CC=C2OC=C(CC(=O)NC3=CC=CC=C3F)C2=C1,325.1478071,5.050600000000004,0.7319008436872337,2.084094572072681,2,1,2.1092240810394287,0,24
C[C@@H]1CC(NC2=CN=CC(C3=NN=CN3C)=C2)C[C@@H](C)C1,285.195345736,3.1137000000000015,0.9411116113894995,3.4320038192747795,5,1,1.0641453266143799,0,21
N#CC1=CC=C(C2=CC=C(O[C@@H](C(=O)N3CCCC3)C3=CC=CC=C3)C=C2)C=C1,382.168127944,4.967780000000004,0.626104542084784,2.4706326078252,3,0,3.7778215408325195,0,29
CCOC(=O)[C@@H]1CCCN(C(=O)C2=C3CCCCCN3C(C3=CC=C(C)C=C3)=N2)C1,409.2365418520001,4.000220000000003,0.7162245000592912,2.822753311170967,5,0,2.976283550262451,-1,30
N#CC1=C(SCC(=O)NC2=CC=CC(Cl)=C2)N=C([O-])[C@H](C#N)C12CCCCC2,413.08444807591,3.6095600000000028,0.8095718119534945,4.035182138302743,6,1,2.333564043045044,0,28
CC[NH+](CC)[C@](C)(CC)[C@H](O)C1=CSC=C1Br,320.06782387609,2.6374000000000013,0.8271497220047328,5.091437549913934,2,2,-2.0011751651763916,0,17
COC1=CC=C(C(=O)N(C)[C@@H](C)CC(N)=NO)C=C1O,281.137556088,0.9977999999999998,0.32273199939356534,2.8523163989668188,5,3,-2.1395668983459473,0,20
O=C(NC1=NNC=N1)C1=CC=CN=C1NC1=CC=CC(F)=C1,298.097837192,2.3346999999999998,0.6867867336169149,2.627857491802141,5,3,-0.05136922374367714,0,22
CC1=C(C#N)C2=NC3=CC=CC=C3N2C(O)=C1C=NC1=CC(Br)=CC=N1,405.0225221040001,4.281300000000002,0.5036973395225375,3.073935310669482,6,1,2.768967628479004,0,26
C[C@@H]1CN(C(=O)C2=CC(Br)=CN2C)CC[C@H]1[NH3+],300.07060074809004,0.8801000000000001,0.8223798445329892,3.947933469646377,2,1,-2.53739857673645,0,17
CCOC1=CC=C(OCC)C([C@H]2C(C#N)=C(N)N(C3=CC=CC=C3C(F)(F)F)C3=C2C(=O)CCC3)=C1,497.19262635199993,5.807580000000005,0.5421263113281531,3.1732023342288134,6,1,4.458063125610352,0,36
CC1=CC=C2N=C(S[C@H](C)C(=O)NC3CCC(C)CC3)N(C)C(=O)C2=C1,373.182398104,3.4174200000000017,0.6588013717387127,2.692305637306097,5,1,1.835407018661499,0,26
O=C(N1CCC2=C(F)C=CC(F)=C2C1)C1(O)CC2=CC=CC=C2C1,329.12273522400005,2.3794000000000004,0.8726164758190363,2.7331997723158103,2,1,1.8307900428771973,0,24
CC1=CC=CC=C1C(=O)N1CCC2(CC1)C[C@H](C1=CC=CC=C1)C(=O)N2C,362.199428072,3.6157200000000023,0.8187136531953373,3.3503522834969193,2,0,2.9686479568481445,0,27
CCCC1=NN(C)C(NC(=O)CN2C(=O)NC3(CCC(C)CC3)C2=O)=C1,361.211389724,1.8117999999999994,0.7819128540578171,3.0775671757676353,5,2,1.2796037197113037,0,26
CC(C)CC1=NC(SCC(=O)NC[C@@H]2CCCO2)=C2C(=O)N(C)C(=O)N(C)C2=N1,421.1783753440001,0.6130000000000004,0.5154656255830778,3.1125333770559696,9,1,0.5533198714256287,0,29
CC1=CC=C(CNC(=O)C2=CC=CC=C2NC(=O)[C@@H]2CC(=O)N(C3=CC=C(C)C=C3)C2)C=C1,441.205241724,4.2250400000000035,0.601076170634872,2.429037406006511,3,2,4.110876560211182,0,33
CCCCC(=O)NC(=S)NC1=CC=CC=C1C(=O)N1CCOCC1,349.146012596,2.1622000000000003,0.7973995931269556,2.037915156931195,4,2,0.5334621667861938,0,24
CC1=C(NC(=O)CSC2=NC3=C(C4=C(CCCC4)S3)C(=O)N2)C(=O)N(C2=CC=CC=C2)N1C,481.1242315960001,3.3920200000000014,0.3360925099463336,2.62217770660925,8,2,2.6929898262023926,0,33
CC(C)[C@@H](OC1=CC=CC(Cl)=C1)C(=O)N1CCC(N2C=CC=N2)CC1,361.155704688,3.803600000000002,0.8132683091617726,2.940469366684301,4,0,1.6179296970367432,0,25
CCN(CC)C(=O)C[C@@H](C)[NH2+][C@H](C)C1=CC=CC(F)=C1F,299.19294628009004,2.2362,0.8234591767047496,3.8782538192747786,1,1,-1.1477057933807373,0,21
