smiles,mwt,logp_rdkit,qed,sascore,hba(NO),hbd(NHOH),plogp,cycle_score,heavy_atom_count,source
BrC1=CC(C2=CC=CC=C2)=CC=C1,231.988762388,3.8138000000000014,0.6945848540367182,1.2805984544622682,0,0,0.0259811803698539,0,13,gcpn_old_pt_filtered
BrC1=CC(C2C3=CC=CC=C3C3CC2C3)=CC=C1,298.03571258000005,5.088200000000003,0.6879070285452336,3.3462195241562487,0,0,2.416792154312134,0,18,gcpn_new_pt_filtered
BrC1=CC2=CC=C1CCCC=C2,222.004412452,3.8717000000000015,0.6270593956189073,3.9707369190818937,0,0,-0.0899853333830833,-3,12,gcpn_old_pt_filtered
BrC1=CC=C2C=CC=CC2=C1,205.973112324,3.257600000000001,0.6185548726384287,1.371938317066462,0,0,-0.8519791960716248,0,11,gcpn_old_pt_filtered
BrC1=CC=C2CCCCC2=C1,210.004412452,3.705600000000002,0.6169536792858007,1.7655931247587695,0,0,-0.494533896446228,0,11,gcpn_old_pt_filtered
BrC1=CC=CC2=C1C=CC1=CC=CC(=C1)CC=C2,296.02006251600005,5.070300000000002,0.6275583834267674,4.20508871026767,0,0,2.2975878715515137,-6,18,gcpn_old_pt_filtered
BrC1=CC=CC=C1C1=CC(C2=CC=CC=C2)CC2=CC=CC=C2C=C1,386.0670127080001,6.738900000000004,0.4493596115237428,2.879436843478537,0,0,5.304038047790527,-2,25,gcpn_old_pt_filtered
BrC1=CC=CC=C1C1=CC=CC=C1,231.988762388,3.8138000000000014,0.6945848540367182,1.3494174828023482,0,0,0.0682698190212249,0,13,gcpn_old_pt_filtered
C#CC(=C(C)C1=CC=CC=C1)C1CC2(CC3=CC=CC=C3C2C)C1C,326.203450832,6.0933000000000055,0.5853044077781459,4.64789067279636,0,0,5.748037815093994,0,25,gcpn_old_pt_filtered
C#CC(=C)C(C=CCCC)C(CC)C1=NC2=CC=CC=C2N1CC,320.225248896,5.2461000000000055,0.4496431672900836,3.862619064830332,2,0,4.403428077697754,0,24,gcpn_old_pt_filtered
C#CC(=C)C1(C2=CC=C(C(C)C)C=C2)CCC1C,238.172150704,4.6707000000000045,0.6714016759376511,3.701164792809406,0,0,2.8765668869018555,0,18,gcpn_old_pt_filtered
C#CC(=C)CC1=CC(=C2C=C2)C=C1,166.07825032,2.928500000000001,0.5531643784783208,3.9799897500088255,0,0,0.8565850853919983,0,13,gcpn_new_pt_filtered
C#CC(=C)CC1=CC2=CC=CC=CC=C(C=CC=C2)C2=CC(CC(CC)CC)=C1S2,410.20682196,8.251500000000005,0.414090116944244,5.627377431664845,1,0,7.317356586456299,-6,30,gcpn_new_pt_filtered
C#CC(=C1C=CC=C1C)C(C1=CC=CC(C)=C1CC)C1=C(C)OC=C1,328.182715388,6.089100000000005,0.6239105953062694,3.919787713689408,1,0,4.557342529296875,0,25,gcpn_old_pt_filtered
C#CC(=CC1=CC(C)=CC=C1)C1=CC=C(CC(C)(C)CC)C(C)=C1,316.219100896,6.455940000000005,0.4386550862010202,2.6876258109830253,0,0,5.291693210601807,0,24,gcpn_new_pt_filtered
C#CC(=CC1=CC(C)=CC=C1)C1=CC=CC(C)=C1C1=CC=CC=C1,308.15650064,5.853600000000005,0.4022552729514657,2.310582636765938,0,0,5.103752613067627,0,24,gcpn_old_pt_filtered
C#CC(=CC1=CC(C)=CC=C1C)C(=O)C1=CC=C(C)C=C1C(C)C,316.182715388,5.634760000000005,0.4054147223378166,2.6032219164160537,1,0,4.0413994789123535,0,24,gcpn_new_pt_filtered
C#CC(=CC1=CC(C)=CC=C1C)C=C1C2=CC=CC2=CN1CC1=CC(CCC)=CC=C1,403.229999928,7.180900000000007,0.4850861109310631,3.3902655013552074,1,0,7.545985698699951,0,31,gcpn_old_pt_filtered
C#CC(=CC1=CC(C)CC=C1)C1=CC=CC=C1C,234.140850576,4.510900000000004,0.6592451551886038,3.747649718630731,0,0,2.790438413619995,0,18,gcpn_old_pt_filtered
C#CC(=CC1=CC=C(C2(C)CC2)C=C1)C1=CC=CC=C1,258.140850576,4.821100000000004,0.5416794018896476,2.4718769289946767,0,0,3.5233263969421387,0,20,gcpn_old_pt_filtered
C#CC(=CC1=CC=C(OCCC(C)CC)C=C1)C1=CC=CC=C1,304.182715388,5.431300000000006,0.472434506038047,2.730707878858226,1,0,3.624746561050415,0,23,gcpn_old_pt_filtered
C#CC(=CC1=CC=CC2=C1CC(C)CC2)C1=CC=CC=C1C,286.172150704,5.601300000000005,0.5193112238312086,3.0854593951390825,0,0,4.381715297698975,0,22,gcpn_old_pt_filtered
C#CC(=CC1=CC=CC=C1)C1=CC=C(C2=CC=CC=C2)O1,270.104465068,4.448800000000003,0.6019171002858118,2.275573397107108,1,0,2.670003890991211,0,21,gcpn_old_pt_filtered
C#CC(=CC1=CC=CC=C1)C1=CC=C(OCC(=C)C)C=C1,274.135765196,4.815300000000004,0.4314887106868485,2.3143566973552456,1,0,2.711881399154663,0,21,gcpn_new_pt_filtered
C#CC(=CC1=CC=CC=C1)C1=CC=CC=C1C=C,230.109550448,4.2070000000000025,0.5375474605195829,2.487974597589547,0,0,2.5652034282684326,0,18,gcpn_old_pt_filtered
C#CC(=CC1=CC=CC=C1)C=C1C=CC=CC12CC=CCC2C,298.172150704,5.623300000000005,0.4830648929563628,4.765936337798946,0,0,4.919828414916992,0,23,gcpn_old_pt_filtered
C#CC(=CC1=CC=CC=C1)CC1=CC=CC=C1,218.109550448,4.040900000000003,0.6842943863898926,2.131052427994403,0,0,2.132207155227661,0,17,gcpn_old_pt_filtered
C#CC(=CC1=CC=CC=C1C)C1=C2C=CN1CCC2,247.136099544,3.916520000000003,0.708886367608041,4.109653332167603,1,0,2.453424453735352,-1,19,gcpn_new_pt_filtered
C#CC(=CC1=CC=CC=C1C)C1=CC=CC=C1C1=CC=CC=C1,294.140850576,5.463500000000003,0.4205478748699662,2.16180475575225,0,0,4.662535667419434,0,23,gcpn_old_pt_filtered
C#CC(=CC1=CC=CC=C1C)CC1=CC=CC=C1,232.125200512,4.2543200000000025,0.6937653639627741,2.2699722307256422,0,0,2.588007688522339,0,18,gcpn_new_pt_filtered
C#CC(=CC1=CC=CC=C2CC=CC=C2CC2CC12)CC,274.172150704,5.291100000000005,0.6000358878659778,5.155274481619106,0,0,4.20513916015625,-4,21,gcpn_new_pt_filtered
C#CC(=CC1=CC=CN1C(C)(C)C)C1=CC=CC=C1C,263.167399672,4.500200000000005,0.6905397992168314,2.944892858328501,1,0,2.943061351776123,0,20,gcpn_old_pt_filtered
C#CC(=CC1=CC=CS1)C1=CC=CC=C1,210.05032132,3.7428000000000017,0.658918949114055,2.4583026992234984,1,0,0.7111455202102661,0,15,gcpn_old_pt_filtered
C#CC(=CC=C)C(=CC(C)C)C1C2=CC=C(C3=CC=CC=C3)C=C2CC1C(C)CCC,408.281701152,8.373700000000005,0.3038308453160044,4.211263691594961,0,0,8.29527473449707,0,31,gcpn_new_pt_filtered
C#CC(=CC=C1C=C1)C1=CC(C)=CC=C1,192.093900384,3.5078200000000024,0.6289285082654679,2.9308825693533667,0,0,1.4417541027069092,0,15,gcpn_new_pt_filtered
C#CC(=CC=C1C=C1)C=C(C)C(C)C,184.125200512,3.6445000000000025,0.4637394567858351,3.783813226024778,0,0,1.3783199787139893,0,14,gcpn_new_pt_filtered
C#CC(=CC=C1C=C1)C=C(CC)CCC,198.140850576,4.178700000000004,0.4590036491905129,3.706372518428682,0,0,1.7489134073257446,0,15,gcpn_old_pt_filtered
C#CC(=CC=C1C=C1)C=C1C=CC=C1C,192.093900384,3.484700000000003,0.5874362062890899,3.978808942979741,0,0,1.6844016313552856,0,15,gcpn_new_pt_filtered
C#CC(=CC=C1C=C1)C=C1C=CC=C1C1=CC(C)=CC=C1,268.125200512,4.930420000000004,0.6817566682463913,3.434247466586016,0,0,4.0367631912231445,0,21,gcpn_new_pt_filtered
C#CC(=CC=C1C=C1C#C)C=C(C)CC,194.109550448,3.401900000000002,0.4768865418179354,4.389014919929621,0,0,1.6823188066482544,0,15,gcpn_new_pt_filtered
C#CC(=CC=C1C=C1CCCC)C1=CC=CC=C1,234.140850576,4.655000000000004,0.6442784686719781,3.0030808106072997,0,0,2.778599739074707,0,18,gcpn_old_pt_filtered
C#CC(=CCCC)C(C)(CC1=CC=CC=C1)C1=CC=C(C)C=C1,302.203450832,6.237400000000005,0.586645128998005,3.0966080509937832,0,0,4.860068321228027,0,23,gcpn_old_pt_filtered
C#CC(=CCCCC)C1C=CC=CC=C1C(C)C1=CC=C(C#CC23C=CCCC2C(C)C3(C)C)C=C1,474.328651344,9.0954,0.2189069158008908,5.2623276190442745,0,0,10.467188835144045,-1,36,gcpn_old_pt_filtered
C#CC(C#C)=CC1=C(C)N(CCCC)C(C)=C1,225.151749608,3.4727000000000023,0.6905119721006844,3.139893672141559,1,0,1.7082798480987549,0,17,gcpn_old_pt_filtered
C#CC(C#C)C1=CC=CC=C1,140.062600256,1.9214,0.5234976715950005,2.891644008753804,0,0,-0.3574721217155456,0,11,gcpn_old_pt_filtered
C#CC(C#C)CC,92.062600256,1.279,0.4272753019315136,4.444746663447157,0,0,-1.5860035419464111,0,7,gcpn_new_pt_filtered
C#CC(C#CC)C(=O)CCC1=CC=CC=C1,210.104465068,2.660800000000001,0.6976100744609711,3.27988231549846,1,0,0.7243942022323608,0,16,gcpn_old_pt_filtered
C#CC(C#CC1=CC=CC=C1C#CC(CC)CCC)CC,276.187800768,4.901500000000005,0.6878535916380016,4.138701733225235,0,0,4.086263179779053,0,21,gcpn_old_pt_filtered
C#CC(C#CCC(C)CC)C1=CC=CC=C1,210.140850576,3.727800000000003,0.6648254804360313,3.729094828037096,0,0,1.9596621990203855,0,16,gcpn_old_pt_filtered
C#CC(C(=O)C1=CC=C(C)C=C1)C1=CC=CC=C1,234.104465068,3.299800000000002,0.5855645377027967,2.459856958449734,1,0,1.4228955507278442,0,18,gcpn_old_pt_filtered
C#CC(C(=O)C1=CC=CC=C1)C(C)(C)C,200.120115132,3.1648000000000023,0.5291128856521139,2.9326700358771216,1,0,0.3759808838367462,0,15,gcpn_new_pt_filtered
C#CC(C(=O)C1=CC=CC=C1)C(C)C,186.104465068,2.513300000000001,0.5237332493593471,2.77901928414186,1,0,-0.0620005503296852,0,14,gcpn_old_pt_filtered
C#CC(C(=O)C1=CC=CC=C1)C1=CC=CC=C1,220.088815004,2.9097000000000017,0.5727297077758562,2.4177464188509656,1,0,0.993668258190155,0,17,gcpn_old_pt_filtered
C#CC(C(=O)C1=CC=CC=C1)C1=CC=CC=C1C,234.104465068,3.299800000000002,0.5855645377027967,2.540422569309463,1,0,1.44356369972229,0,18,gcpn_old_pt_filtered
C#CC(C(=O)C1=CC=CC=C1)C1CCC1,198.104465068,2.918800000000002,0.5388255367067775,2.902546079833167,1,0,0.3946545422077179,0,15,gcpn_new_pt_filtered
C#CC(C(C)C)C1(O)CCCCC1C,194.167065324,2.833000000000001,0.6701554108821348,4.320565729609857,1,1,0.3015194237232208,0,14,gcpn_old_pt_filtered
C#CC(C)(C#CC1=CC=C2C(=C1)C(CC)C1CC21C)C=C,274.172150704,4.674100000000005,0.5438222864898349,4.862562034923951,0,0,4.124732494354248,0,21,gcpn_old_pt_filtered
C#CC(C)(C)C(C)CCC1=CC=CC=C1,200.15650064,4.114500000000003,0.6462794122753796,2.859826433625715,0,0,1.607622504234314,0,15,gcpn_old_pt_filtered
C#CC(C)(C)C1=CC=C2C(=C1)CCC1=CC=CC=C12,246.140850576,4.655000000000004,0.6556706204757642,2.3819412512168245,0,0,3.0799880027771,0,19,gcpn_old_pt_filtered
C#CC(C)(C)C1=CC=C2C=CC=NC2=C1,195.104799416,3.1456000000000017,0.636892609879639,2.427264986935784,1,0,0.7502544522285461,0,15,gcpn_new_pt_filtered
C#CC(C)(C)C=C1C2=CC=CC(=C2)OC2=CC(C)=CC=C21,274.135765196,4.752700000000004,0.5546656218612241,3.8523491908523537,1,0,2.760697841644287,-1,21,gcpn_old_pt_filtered
C#CC(C)(C)CC1=CC=CC=C1,158.109550448,3.088300000000001,0.5804612449944582,2.3123317711980462,0,0,0.2198520451784134,0,12,gcpn_old_pt_filtered
C#CC(C)(C)CC=C,108.093900384,2.2219,0.3756139822990147,3.636596791853381,0,0,-1.1085872650146484,0,8,gcpn_old_pt_filtered
C#CC(C)(C)CN1CCC(C)CC1,179.167399672,2.377700000000001,0.5882616783573796,2.720677991767067,1,0,0.3991621136665344,0,13,gcpn_old_pt_filtered
C#CC(C)(C)N(C)C1=CC=CC(C(C)C)=C1,215.167399672,3.658000000000003,0.6955172216966591,2.731758365458221,1,0,1.3505934476852417,0,16,gcpn_new_pt_filtered
C#CC(C)(C)N(CCCC)C1CC1,179.167399672,2.662700000000001,0.5864552220806893,3.149729342769008,1,0,0.3996316790580749,0,13,gcpn_new_pt_filtered
C#CC(C)(C1=CC=CC=C1)C1=CC=C(C2CC2)C=C1,246.140850576,4.510900000000004,0.6992748624725382,2.7608802195720816,0,0,3.122264623641968,0,19,gcpn_old_pt_filtered
C#CC(C)(C1=CC=CC=C1C)C(C)CCC,214.172150704,4.504600000000004,0.65467159161263,3.463713504244608,0,0,2.043635845184326,0,16,gcpn_old_pt_filtered
C#CC(C)(C1CCCO1)C(C)C(C)C,194.167065324,3.0970000000000013,0.6272722522993333,4.35470211214624,1,0,0.3064691424369812,0,14,gcpn_old_pt_filtered
C#CC(C)(CC)C(=O)NC1=CC=CC=C1C(C)C,243.162314292,3.188200000000002,0.8006804380318321,3.050741573834351,1,1,1.1031144857406616,0,18,gcpn_old_pt_filtered
C#CC(C)(CC)C(C)CC,138.140850576,3.0820000000000016,0.5256543240762725,4.133719719364277,0,0,-0.1460771560668945,0,10,gcpn_old_pt_filtered
C#CC(C)(CC)C1=CC=CC=C1C,172.125200512,3.4784000000000024,0.6003789802821464,3.10162721653258,0,0,0.6740515232086182,0,13,gcpn_old_pt_filtered
C#CC(C)(CC)C1CC2CCC(CC2)O1,206.167065324,3.383600000000002,0.6292924898619268,5.061043626379245,1,0,0.7116820216178894,-1,15,gcpn_old_pt_filtered
C#CC(C)(CC)C1CCCO1,152.120115132,2.2149,0.5511695672075575,4.270214381293686,1,0,-0.944002330303192,0,11,gcpn_new_pt_filtered
C#CC(C)(CC)CC1=CC=CC=C1C,186.140850576,3.5870200000000025,0.6327971474124758,3.112594992643885,0,0,1.1213041543960571,0,14,gcpn_new_pt_filtered
C#CC(C)(CC)N(CC)CC,153.151749608,2.1301,0.5592056135852268,4.044900110513291,1,0,-0.5085378289222717,0,11,gcpn_old_pt_filtered
C#CC(C)(CC)NC1=CC=CC=C1,173.12044948,2.900400000000001,0.6929106732474714,2.9033312824666453,1,1,-0.0262579005211591,0,13,gcpn_new_pt_filtered
C#CC(C)(CC1=CC=CC=C1)C(C)(C)C,200.15650064,3.9147000000000034,0.634803859092298,3.056814651261737,0,0,1.629794955253601,0,15,gcpn_new_pt_filtered
C#CC(C)(CCC)C1=CC=C(CC(C)(C)C)S1,248.159871768,5.027700000000005,0.6557269204516867,3.7645942681445295,1,0,1.9160313606262207,0,17,gcpn_new_pt_filtered
C#CC(C)(CCC)C1=CC=CC=C1,172.125200512,3.377600000000002,0.6130721533506361,2.987327436312801,0,0,0.6740514039993286,0,13,gcpn_new_pt_filtered
C#CC(C)(CCC1=CC=CC=C1)CC1=CC=CC=C1C,262.172150704,5.291100000000005,0.6783045657402086,2.800866639590149,0,0,3.5520122051239014,0,20,gcpn_old_pt_filtered
C#CC(C)(N1CCC(CC)C1)C(C)(C)C,207.1986998,3.1563000000000017,0.6287282738592919,4.04323947149268,1,0,1.2505862712860107,0,15,gcpn_new_pt_filtered
C#CC(C)(NC)C(C)C,125.12044948,1.2537,0.5476716503084311,3.820114994228831,1,1,-1.357044339179993,0,9,gcpn_new_pt_filtered
