smiles,mwt,logp_rdkit,qed,sascore,hba(NO),hbd(NHOH),plogp,cycle_score,heavy_atom_count
C=[SH]CCCC,104.065971384,1.684,0.31421187472767215,4.860408432901546,0,1,-2.7192909717559814,0,6
C=CCCC=C,82.07825032,2.1386000000000003,0.3611916015719576,2.916122855978468,0,0,-1.8322585821151733,0,6
C=[SH]CC(C)C,104.065971384,1.5399,0.3985159092675135,5.114185932901546,0,1,-2.7165863513946533,0,6
CC[SH]=C(C)C,104.065971384,1.684,0.37959048135185974,4.9650720867477,0,1,-2.7165863513946533,0,6
C#CCCC=C,80.062600256,1.5857999999999999,0.2682238830577901,3.339382471363084,0,0,-1.955678105354309,0,6
C=C(C)CCN,85.08914935199999,0.9113000000000002,0.49544079029044913,2.866964394440007,1,1,-2.356107473373413,0,6
C=C(C)CCC,84.093900384,2.3626000000000005,0.4504228125641928,2.5140167021323148,0,0,-1.6505714654922485,0,6
C=C(C)CCCC,98.109550448,2.752700000000001,0.47599531368341325,2.1773697403702315,0,0,-1.2785197496414185,0,7
C=CCCC(C)N,99.10479941599999,1.2998000000000003,0.5301264349992537,3.2000728112895915,1,1,-2.0014936923980713,0,7
C=CCCC(=O)O,100.052429496,1.0372,0.5377642424966692,2.1608005096010015,1,1,-3.2769529819488525,0,7
CCCC(=O)CC,100.088815004,1.7656,0.5278529243600644,2.0447235865240785,1,0,-2.4401168823242188,0,7
C#CCC(C)(C)C,96.093900384,2.0558,0.4047903298811263,3.2237611430851647,0,0,-1.4437495470046997,0,7
CC(C)=CC(C)C,98.109550448,2.608600000000001,0.44210961702042856,2.7335991521349374,0,0,-1.3057268857955933,0,7
C#CC(F)C(C)C,100.068828508,1.6137,0.4390367862188268,4.175139327126695,0,0,-2.040837049484253,0,7
C=CCCC(C)C,98.109550448,2.608600000000001,0.4758477167623552,2.289454355754849,0,0,-1.2785197496414185,0,7
C=CCCCC,84.093900384,2.3626000000000005,0.36350557388151317,2.0843757405938526,0,0,-1.6911903619766235,0,6
C=CCC(C)(C)O,100.088815004,1.3334,0.5189390556117613,3.03799462724806,1,1,-2.5194191932678223,0,7
C=CCCC(=C)C,96.093900384,2.5287000000000006,0.4734655550980151,2.760338971139463,0,0,-1.4694846868515015,0,7
C=C(C)CCCC,98.109550448,2.752700000000001,0.47599531368341325,2.1773697403702315,0,0,-1.2785197496414185,0,7
C#CCCC(C)NC,111.10479941599999,1.0077,0.5358116700145472,3.495204807827684,1,1,-1.7956149578094482,0,8
C=CCC(CC)CC,112.12520051199999,2.9987000000000013,0.49030798944753784,2.6956138248204145,0,0,-0.9059399366378784,0,8
